Team_0 (started DFD 1st H),Team_1 (started ATK 1st H),Bind,Haven,Split,Ascent,Icebox,Breeze,Team_0_P1,Team_0_P2,Team_0_P3,Team_0_P4,Team_0_P5,Team_1_P1,Team_1_P2,Team_1_P3,Team_1_P4,Team_1_P5,Winner
Kansas City Pioneers,Virtuoso,0,0,0,1,0,0,1.09,1.09,1.01,1.15,1.04,0.99,0.95,1.04,0.97,1.14,0
Virtuoso,Kansas City Pioneers,1,0,0,0,0,0,0.99,0.95,1.04,0.97,1.14,1.09,1.09,1.01,1.15,1.04,1
Rise,Cloud9 Blue,0,0,1,0,0,0,1.09,1.1,1.16,1.04,1.07,1.22,0.85,1.1,1.09,1.07,0
Cloud9 Blue,Rise,0,0,0,1,0,0,1.22,0.85,1.1,1.09,1.07,1.09,1.1,1.16,1.04,1.07,1
Luminosity Gaming,Version1,0,1,0,0,0,0,1.15,1.05,1.09,1.07,1.17,1.19,1.03,1.11,1.04,1.01,1
Version1,Luminosity Gaming,0,0,1,0,0,0,1.19,1.03,1.11,1.04,1.01,1.15,1.05,1.09,1.07,1.17,0
Andbox,GenG Esports,0,0,0,0,0,1,1.27,0.98,1.15,1.02,0.98,1.11,0.96,1.24,0.95,0.99,1
Andbox,GenG Esports,0,0,0,0,1,0,1.27,0.98,1.15,1.02,0.98,1.11,0.96,1.24,0.95,0.99,0
GenG Esports,Andbox,0,0,1,0,0,0,1.11,0.96,1.24,0.95,0.99,1.27,0.98,1.15,1.02,0.98,0
Noble,100 Thieves,0,1,0,0,0,0,1.19,1.09,0.98,1.06,0.9,1.26,1.08,1.08,1.05,0.91,1
100 Thieves,Noble,0,0,0,0,1,0,1.26,1.08,1.08,1.05,0.91,1.19,1.09,0.98,1.06,0.9,1
Noble,100 Thieves,0,0,0,1,0,0,1.19,1.09,0.98,1.06,0.9,1.26,1.08,1.08,1.05,0.91,1
T1,Envy,0,0,1,0,0,0,1.14,1.13,1.09,1.04,1.14,1.24,1.16,0.99,1.09,0.91,0
Envy,T1,1,0,0,0,0,0,1.24,1.16,0.99,1.09,0.91,1.14,1.13,1.09,1.04,1.14,0
T1,Envy,0,1,0,0,0,0,1.14,1.13,1.09,1.04,1.14,1.24,1.16,0.99,1.09,0.91,1
Sentinels,Soniqs,0,0,0,0,1,0,1.07,1.3,1.22,1.05,0.9,1.1,1.04,1.29,1.09,1.21,1
Soniqs,Sentinels,1,0,0,0,0,0,1.1,1.04,1.29,1.09,1.21,1.07,1.3,1.22,1.05,0.9,1
Sentinels,Soniqs,0,1,0,0,0,0,1.07,1.3,1.22,1.05,0.9,1.1,1.04,1.29,1.09,1.21,0
DarkZero Esports,XSET,0,0,0,0,1,0,1.16,1.02,1.02,1.17,1.09,1.11,1.32,1.01,1,1.09,1
XSET,DarkZero Esports,0,0,0,1,0,0,1.11,1.32,1.01,1,1.09,1.16,1.02,1.02,1.17,1.09,1
DarkZero Esports,XSET,0,0,0,0,0,1,1.16,1.02,1.02,1.17,1.09,1.11,1.32,1.01,1,1.09,1
Sentinels,Evil Geniuses,0,0,0,0,1,0,1.07,1.3,1.22,1.05,0.9,1.2,1.05,1.03,1.07,0.75,0
Evil Geniuses,Sentinels,0,1,0,0,0,0,1.2,1.05,1.03,1.07,0.75,1.07,1.3,1.22,1.05,0.9,1
Renegades,Soniqs,0,0,0,0,1,0,1.19,1.19,1.17,1.09,1.04,1.1,1.04,1.29,1.09,1.21,1
Soniqs,Renegades,0,0,0,0,0,1,1.1,1.04,1.29,1.09,1.21,1.19,1.19,1.17,1.09,1.04,0
Team Insight,XSET,0,0,0,0,1,0,1.03,0.92,1.07,1,0.92,1.11,1.32,1.01,1,1.09,1
XSET,Team Insight,0,0,1,0,0,0,1.11,1.32,1.01,1,1.09,1.03,0.92,1.07,1,0.92,0
DarkZero Esports,Faze Clan,0,0,0,1,0,0,1.16,1.02,1.02,1.17,1.09,1.21,0.97,0.96,0.96,1.21,0
Faze Clan,DarkZero Esports,0,1,0,0,0,0,1.21,0.97,0.96,0.96,1.21,1.16,1.02,1.02,1.17,1.09,0
DarkZero Esports,Faze Clan,0,0,0,0,1,0,1.16,1.02,1.02,1.17,1.09,1.21,0.97,0.96,0.96,1.21,0
Squirtle Squad,Envy,1,0,0,0,0,0,1.18,1.03,1.05,1.03,1.16,1.24,1.16,0.99,1.09,0.91,1
Envy,Squirtle Squad,0,0,0,1,0,0,1.24,1.16,0.99,1.09,0.91,1.18,1.03,1.05,1.03,1.16,0
Ghost Gaming,T1,0,0,1,0,0,0,1.27,1.03,1.03,1.25,0.99,1.14,1.13,1.09,1.04,1.14,0
T1,Ghost Gaming,0,1,0,0,0,0,1.14,1.13,1.09,1.04,1.14,1.27,1.03,1.03,1.25,0.99,0
Ghost Gaming,T1,1,0,0,0,0,0,1.27,1.03,1.03,1.25,0.99,1.14,1.13,1.09,1.04,1.14,1
SoaR,100 Thieves,0,0,0,0,1,0,1.21,1.04,1.13,1.11,0.84,1.26,1.08,1.08,1.05,0.91,0
100 Thieves,SoaR,0,0,0,1,0,0,1.26,1.08,1.08,1.05,0.91,1.21,1.04,1.13,1.11,0.84,0
SoaR,100 Thieves,0,1,0,0,0,0,1.21,1.04,1.13,1.11,0.84,1.26,1.08,1.08,1.05,0.91,1
Noble,TSM FTX,0,1,0,0,0,0,1.19,1.09,0.98,1.06,0.9,1.28,1.03,1.14,1.16,1.11,0
TSM FTX,Noble,1,0,0,0,0,0,1.28,1.03,1.14,1.16,1.11,1.19,1.09,0.98,1.06,0.9,0
Noble,TSM FTX,0,0,0,1,0,0,1.19,1.09,0.98,1.06,0.9,1.28,1.03,1.14,1.16,1.11,0
YFP Gaming,Version1,0,0,0,1,0,0,1.14,0.97,1,1.03,1.11,1.19,1.03,1.11,1.04,1.01,1
Version1,YFP Gaming,0,0,1,0,0,0,1.19,1.03,1.11,1.04,1.01,1.14,0.97,1,1.03,1.11,0
Complexity,Luminosity Gaming,0,0,1,0,0,0,1.2,1.19,1.03,1.14,1.05,1.15,1.05,1.09,1.07,1.17,1
Luminosity Gaming,Complexity,0,0,0,0,1,0,1.15,1.05,1.09,1.07,1.17,1.2,1.19,1.03,1.14,1.05,0
EZ5,Andbox,0,1,0,0,0,0,1.1,1.14,1.05,1.21,1.05,1.27,0.98,1.15,1.02,0.98,1
Andbox,EZ5,0,0,0,0,0,1,1.27,0.98,1.15,1.02,0.98,1.1,1.14,1.05,1.21,1.05,0
Pittsburgh Knights,GenG Esports,0,0,0,0,0,1,1.22,1.16,1.06,0.96,1.05,1.11,0.96,1.24,0.95,0.99,0
GenG Esports,Pittsburgh Knights,1,0,0,0,0,0,1.11,0.96,1.24,0.95,0.99,1.22,1.16,1.06,0.96,1.05,0
Pittsburgh Knights,GenG Esports,0,0,1,0,0,0,1.22,1.16,1.06,0.96,1.05,1.11,0.96,1.24,0.95,0.99,1
Team Basilisk,Cloud9 Blue,0,0,0,0,1,0,1.19,0.94,1.03,1.09,1.02,1.22,0.85,1.1,1.09,1.07,1
Cloud9 Blue,Team Basilisk,0,1,0,0,0,0,1.22,0.85,1.1,1.09,1.07,1.19,0.94,1.03,1.09,1.02,0
Rise,Built By Gamers,0,1,0,0,0,0,1.09,1.1,1.16,1.04,1.07,1.09,0.97,1,1.21,1.03,1
Built By Gamers,Rise,0,0,0,1,0,0,1.09,0.97,1,1.21,1.03,1.09,1.1,1.16,1.04,1.07,1
Rise,Built By Gamers,1,0,0,0,0,0,1.09,1.1,1.16,1.04,1.07,1.09,0.97,1,1.21,1.03,0
NRG Esports,Virtuoso,0,0,0,1,0,0,0.97,1.22,1.26,1.18,1.1,0.99,0.95,1.04,0.97,1.14,1
Virtuoso,NRG Esports,1,0,0,0,0,0,0.99,0.95,1.04,0.97,1.14,0.97,1.22,1.26,1.18,1.1,0
Kansas City Pioneers,Immortals,0,0,0,1,0,0,1.09,1.09,1.01,1.15,1.04,1.2,1.35,1.1,1.17,1.08,0
Immortals,Kansas City Pioneers,0,0,0,0,1,0,1.2,1.35,1.1,1.17,1.08,1.09,1.09,1.01,1.15,1.04,0
Kansas City Pioneers,Immortals,1,0,0,0,0,0,1.09,1.09,1.01,1.15,1.04,1.2,1.35,1.1,1.17,1.08,0
La Familia,Built By Gamers,0,0,0,1,0,0,0.81,0.99,1.11,0.94,0.9,1.09,0.97,1,1.21,1.03,1
Built By Gamers,La Familia,1,0,0,0,0,0,1.09,0.97,1,1.21,1.03,0.81,0.99,1.11,0.94,0.9,0
XSET,TradeLikePros,0,0,0,0,1,0,1.11,1.32,1.01,1,1.09,1.08,0.94,0.91,0.89,0.94,0
XSET,TradeLikePros,0,0,1,0,0,0,1.11,1.32,1.01,1,1.09,1.08,0.94,0.91,0.89,0.94,0
Levitate Esports,TSM FTX,0,0,1,0,0,0,0.96,1.07,0.91,0.83,0.9,1.28,1.03,1.14,1.16,1.11,1
TSM FTX,Levitate Esports,0,1,0,0,0,0,1.28,1.03,1.14,1.16,1.11,0.96,1.07,0.91,0.83,0.9,0
Resonate,YFP Gaming,0,0,0,0,0,1,1.11,1.09,0.93,1,1.01,1.14,0.97,1,1.03,1.11,1
YFP Gaming,Resonate,0,0,1,0,0,0,1.14,0.97,1,1.03,1.11,1.11,1.09,0.93,1,1.01,0
303 Esports,Cloud9 Blue,0,0,0,0,1,0,1.13,0.93,0.95,1.14,1.06,1.22,0.85,1.1,1.09,1.07,1
303 Esports,Cloud9 Blue,0,1,0,0,0,0,1.13,0.93,0.95,1.14,1.06,1.22,0.85,1.1,1.09,1.07,1
Big Frames,Team Basilisk,0,1,0,0,0,0,1.09,0.98,1.04,1.07,0.96,1.19,0.94,1.03,1.09,1.02,1
Team Basilisk,Big Frames,0,0,0,1,0,0,1.19,0.94,1.03,1.09,1.02,1.09,0.98,1.04,1.07,0.96,0
CoT,DarkZero Esports,0,1,0,0,0,0,1.06,1.09,1.07,0.98,1.02,1.16,1.02,1.02,1.17,1.09,1
DarkZero Esports,CoT,0,0,0,1,0,0,1.16,1.02,1.02,1.17,1.09,1.06,1.09,1.07,0.98,1.02,0
Lazarus Esports,100 Thieves,0,0,0,0,0,1,1.09,0.99,0.88,0.95,0.91,1.26,1.08,1.08,1.05,0.91,1
100 Thieves,Lazarus Esports,0,0,0,0,1,0,1.26,1.08,1.08,1.05,0.91,1.09,0.99,0.88,0.95,0.91,0
Andbox,Rock Bottom,0,0,0,1,0,0,1.27,0.98,1.15,1.02,0.98,1.14,1.02,1.05,0.9,0.78,0
Andbox,Rock Bottom,0,0,1,0,0,0,1.27,0.98,1.15,1.02,0.98,1.14,1.02,1.05,0.9,0.78,0
Evil Geniuses,Bewds Retirement Home,0,0,0,0,0,1,1.2,1.05,1.03,1.07,0.75,1.01,1.01,1.02,1.07,1.05,0
Evil Geniuses,Bewds Retirement Home,0,0,0,1,0,0,1.2,1.05,1.03,1.07,0.75,1.01,1.01,1.02,1.07,1.05,0
Down Two Earth,Soniqs,0,0,0,0,1,0,1.05,0.96,0.94,0.91,0.91,1.1,1.04,1.29,1.09,1.21,1
Soniqs,Down Two Earth,0,0,0,1,0,0,1.1,1.04,1.29,1.09,1.21,1.05,0.96,0.94,0.91,0.91,0
Renegades,Able Esports,0,0,0,0,0,1,1.19,1.19,1.17,1.09,1.04,0.99,0.92,0.97,1.02,1.15,0
Renegades,Able Esports,1,0,0,0,0,0,1.19,1.19,1.17,1.09,1.04,0.99,0.92,0.97,1.02,1.15,0
DNADIFF,EZ5,1,0,0,0,0,0,1.1,1.22,0.94,1.04,1.07,1.1,1.14,1.05,1.21,1.05,1
EZ5,DNADIFF,0,1,0,0,0,0,1.1,1.14,1.05,1.21,1.05,1.1,1.22,0.94,1.04,1.07,1
DNADIFF,EZ5,0,0,0,0,1,0,1.1,1.22,0.94,1.04,1.07,1.1,1.14,1.05,1.21,1.05,1
HorizonGG,Complexity,0,0,1,0,0,0,0.98,1.03,0.9,0.85,0.99,1.16,1.18,1.05,1.2,1.03,1
Sbread Gaming,Pittsburgh Knights,1,0,0,0,0,0,0.9,1.01,1.03,1.05,1.07,1.22,1.16,1.06,0.96,1.05,1
Sewercats,Evil Geniuses,0,0,0,1,0,0,0.88,0.74,0.86,0.78,0.7,1.2,1.05,1.03,1.07,0.75,1
Sum 2 Prove,Bewd's Retirement Home,0,0,1,0,0,0,1.18,1.11,0.9,0.96,1.01,1.01,1.01,1.02,1.07,1.05,1
Stealth,Soniqs,0,1,0,0,0,0,0.84,0.68,0.76,0.65,0.69,1.1,1.04,1.29,1.09,1.21,1
Silent Lurkers,Down Two Earth,0,0,0,0,0,1,0.77,0.78,0.76,0.65,0.69,1.05,0.96,0.94,0.91,0.91,1
Down Two Earth,Silent Lurkers,0,0,1,0,0,0,1.05,0.96,0.94,0.91,0.91,0.77,0.78,0.76,0.65,0.69,0
Aggie Gaming at UC Davis,Renegades,1,0,0,0,0,0,0.85,0.74,0.88,0.68,0.71,1.19,1.19,1.17,1.09,1.04,1
Renegades,Aggie Gaming at UC Davis,0,1,0,0,0,0,1.19,1.19,1.17,1.09,1.04,0.85,0.74,0.88,0.68,0.71,0
Able Esports,BCH,0,0,0,1,0,0,0.99,0.92,0.97,1.02,1.15,0.82,0.68,0.6,0.59,0.37,0
BCH,Able Esports,0,0,0,0,1,0,0.82,0.68,0.6,0.59,0.37,0.99,0.92,0.97,1.02,1.15,1
University at Buffalo,XSET,0,0,0,0,1,0,0.67,0.93,0.55,0.61,0.94,1.11,1.32,1.01,1,1.09,1
XSET,University at Buffalo,0,0,1,0,0,0,1.11,1.32,1.01,1,1.09,0.67,0.93,0.55,0.61,0.94,0
TradeLikePros,Recon5,0,0,0,1,0,0,1.08,0.94,0.91,0.89,0.94,1.05,1.03,0.91,0.98,0.9,0
Recon5,TradeLikePros,0,0,1,0,0,0,1.05,1.03,0.91,0.98,0.9,1.08,0.94,0.91,0.89,0.94,0
Recon5,TradeLikePros,0,0,0,0,1,0,1.05,1.03,0.91,0.98,0.9,1.08,0.94,0.91,0.89,0.94,1
OOKERS,Project 1,0,1,0,0,0,0,1.09,1.14,0.97,0.93,1.04,0.96,0.93,0.76,0.79,0.73,0
Project 1,OOKERS,1,0,0,0,0,0,0.96,0.93,0.76,0.79,0.73,1.09,1.14,0.97,0.93,1.04,1
Hyped Esports,Team Insight,0,0,1,0,0,0,0.82,0.84,0.68,0.75,0.55,1.03,0.92,1.07,1,0.92,1
Team Insight,Hyped Esports,0,0,0,0,0,1,1.03,0.92,1.07,1,0.92,0.82,0.84,0.68,0.75,0.55,0
Faze Clan,MeowMeow,0,0,0,1,0,0,1.21,0.97,0.96,0.96,1.21,1.05,0.67,0.47,0.46,0.45,0
Faze Clan,MeowMeow,0,0,1,0,0,0,1.21,0.97,0.96,0.96,1.21,1.05,0.67,0.47,0.46,0.45,0
Frail Males,OG4Z,1,0,0,0,0,0,1,1.16,1.11,0.99,1.07,0.88,0.87,0.75,0.71,0.56,0
OG4Z,Frail Males,0,0,0,1,0,0,0.88,0.87,0.75,0.71,0.56,1,1.16,1.11,0.99,1.07,1
DarkZero Esports,Night Raid,0,0,0,0,1,0,1.16,1.02,1.02,1.17,1.09,0.91,0.87,0.92,0.96,1.08,0
Radiants with Attitude,CoT,0,0,0,1,0,0,1.03,1.08,1.05,0.75,0.66,1.06,1.09,1.07,0.98,1.02,1
CoT,Radiants with Attitude,1,0,0,0,0,0,1.06,1.09,1.07,0.98,1.02,1.03,1.08,1.05,0.75,0.66,0
Carno's Ark,Envy,1,0,0,0,0,0,0.62,0.47,0.54,0.34,0.35,1.24,1.16,0.99,1.09,0.91,1
Carno's Ark,Envy,0,0,0,0,1,0,0.62,0.47,0.54,0.34,0.35,1.24,1.16,0.99,1.09,0.91,1
Merry Men,Carpe Noctem,0,0,0,1,0,0,0.93,0.95,0.84,0.83,0.66,1.09,0.95,1.03,0.94,0.78,1
Merry Men,Carpe Noctem,0,0,0,0,1,0,0.93,0.95,0.84,0.83,0.66,1.09,0.95,1.03,0.94,0.78,1
SwayGG,Brimstone Gaming,0,1,0,0,0,0,0.85,0.97,0.7,0.52,0.74,1.15,1.1,0.97,1.07,0.95,1
Brimstone Gaming,SwayGG,1,0,0,0,0,0,1.15,1.1,0.97,1.07,0.95,0.85,0.97,0.7,0.52,0.74,0
Galaxy,Squirtle Squad,0,0,0,1,0,0,1.06,0.71,0.72,0.63,0.91,1.18,1.03,1.05,1.03,1.16,1
Squirtle Squad,Galaxy,0,0,0,0,1,0,1.18,1.03,1.05,1.03,1.16,1.06,0.71,0.72,0.63,0.91,0
Dark Matter Purple,T1,0,0,0,0,1,0,1.09,0.65,0.6,0.58,0.54,1.14,1.13,1.09,1.04,1.14,1
T1,Dark Matter Purple,1,0,0,0,0,0,1.14,1.13,1.09,1.04,1.14,1.09,0.65,0.6,0.58,0.54,0
Akuma Esports,O.O.D.A Loopers,0,0,0,0,1,0,0.83,0.88,0.95,0.61,0.76,0.96,0.99,1,0.93,0.87,1
Aim Stars,Ghost Gaming,0,0,0,1,0,0,1.06,0.66,0.85,0.64,0.76,1.27,1.03,1.03,1.25,0.99,1
Apes Together Strong,Zero Marksmen,1,0,0,0,0,0,0.75,0.72,0.64,0.48,0.42,1,1.1,1.1,0.93,1.09,1
Hysteria,Lazarus Esports,0,0,1,0,0,0,1.18,0.89,0.79,0.8,0.75,1.09,0.99,0.88,0.95,0.91,1
OOKERS,Team Insight,0,0,1,0,0,0,1.09,1.14,0.97,0.93,1.04,1.03,0.92,1.07,1,0.92,1
Frail Males,Faze Clan,0,1,0,0,0,0,1,1.16,1.11,0.99,1.07,1.21,0.97,0.96,0.96,1.21,1
Brimstone Gaming,Squirtle Squad,0,0,0,0,0,1,1.15,1.1,0.97,1.07,0.95,1.18,1.03,1.05,1.03,1.16,1
O.O.D.A Loopers,T1,0,0,0,0,1,0,0.96,0.99,1,0.93,0.87,1.14,1.13,1.09,1.04,1.14,1
Professional Malders,Noble,0,1,0,0,0,0,1.13,1.05,0.96,1.13,1,1.19,1.09,0.98,1.06,0.9,1
Exotic,GenG Esports,0,1,0,0,0,0,1.18,0.85,0.81,0.84,0.74,1.11,0.96,1.24,0.95,0.99,1
Illuzion Black,NRG Esports,0,0,0,0,0,1,0.97,1.05,0.91,0.95,0.84,0.97,1.22,1.26,1.18,1.1,1
Fenrir,Virtuoso,0,0,0,1,0,0,1.05,1.06,1.13,0.97,0.97,0.99,0.95,1.04,0.97,1.14,1
Virtuoso,Fenrir,1,0,0,0,0,0,0.99,0.95,1.04,0.97,1.14,1.05,1.06,1.13,0.97,0.97,1
Fenrir,Virtuoso,0,0,0,0,0,1,1.05,1.06,1.13,0.97,0.97,0.99,0.95,1.04,0.97,1.14,1
Zero Marksmen,Ghost Gaming,0,0,0,1,0,0,1,1.1,1.1,0.93,1.09,1.27,1.03,1.03,1.25,0.99,1
Cosmic Divide,SoaR,0,0,0,1,0,0,0.99,1.09,0.93,1.13,1.04,1.21,1.04,1.13,1.11,0.84,1
Baking Company,Kansas City Pioneers,1,0,0,0,0,0,1.02,1.1,0.78,0.82,0.78,1.09,1.09,1.01,1.15,1.04,1
Cloud9 White,Luminosity Gaming,0,0,0,0,1,0,1.09,1.14,1.18,1.06,1.06,1.15,1.05,1.09,1.07,1.17,1
Zestys Money Crew,Rise,0,0,1,0,0,0,1.17,0.95,1.05,1.01,0.93,1.09,1.1,1.16,1.04,1.07,1
Last Round Save,Immortals,0,0,0,1,0,0,1.12,0.98,1.04,0.99,0.96,1.2,1.35,1.1,1.17,1.08,1
Evil Geniuses,Sewercats,1,0,0,0,0,0,1.2,1.05,1.03,1.07,0.75,0.88,0.74,0.86,0.78,0.7,0
Bewd's Retirement Home,Sum 2 Prove,1,0,0,0,0,0,1.01,1.01,1.02,1.07,1.05,1.18,1.11,0.9,0.96,1.01,0
Soniqs,Stealth,0,0,0,1,0,0,1.1,1.04,1.29,1.09,1.21,0.84,0.68,0.76,0.65,0.69,0
Noble,Professional Malders,1,0,0,0,0,0,1.19,1.09,0.98,1.06,0.9,1.13,1.05,0.96,1.13,1,0
GenG Esports,Exotic,1,0,0,0,0,0,1.11,0.96,1.24,0.95,0.99,1.18,0.85,0.81,0.84,0.74,0
NRG Esports,Illuzion Black,1,0,0,0,0,0,0.97,1.22,1.26,1.18,1.1,0.97,1.05,0.91,0.95,0.84,0
T1,O.O.D.A Loopers,0,0,0,1,0,0,1.14,1.13,1.09,1.04,1.14,0.96,0.99,1,0.93,0.87,0
Squirtle Squad,Brimstone Gaming,0,1,0,0,0,0,1.18,1.03,1.05,1.03,1.16,1.15,1.1,0.97,1.07,0.95,0
Faze Clan,Frail Males,0,0,0,0,1,0,1.21,0.97,0.96,0.96,1.21,1,1.16,1.11,0.99,1.07,0
Frail Males,Faze Clan,0,0,0,1,0,0,1,1.16,1.11,0.99,1.07,1.21,0.97,0.96,0.96,1.21,0
Team Insight,OOKERS,0,0,0,1,0,0,1.03,0.92,1.07,1,0.92,1.09,1.14,0.97,0.93,1.04,0
OOKERS,Team Insight,1,0,0,0,0,0,1.09,1.14,0.97,0.93,1.04,1.03,0.92,1.07,1,0.92,0
100 Thieves,Illuzion Orange,0,0,0,0,0,1,1.26,1.08,1.08,1.05,0.91,1.05,1.16,0.83,0.82,0.81,0
Zero Marksmen,Apes Together Strong,0,0,0,0,1,0,1,1.1,1.1,0.93,1.09,0.75,0.72,0.64,0.48,0.42,0
Ghost Gaming,Aim Stars,0,1,0,0,0,0,1.27,1.03,1.03,1.25,0.99,1.06,0.66,0.85,0.64,0.76,0
O.O.D.A Loopers,Akuma Esports,0,0,1,0,0,0,0.96,0.99,1,0.93,0.87,0.83,0.88,0.95,0.61,0.76,0
